"MissionID","TotalComps","TotalCompTime","tick"
"2",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"2",0,0,1109.0
"0",0,0,1109.0
"0",1,17,1109.0
"0",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"2",1,93,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"0",1,104,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"2",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"0",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"2",0,0,1109.0
"2",0,0,1109.0
"3",0,0,1109.0
"3",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"1",0,0,1109.0
"1",0,0,1109.0
"0",0,0,1109.0
"0",0,0,1109.0
"3",0,0,1109.0
